barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_4648,contig_0 consensus mapping",597,747,406,0,400,0,212,0,553,406,0,0,435,60,2213,101,374,244,0,0,472,15,0,0,502,42,277,224,572,176,498,414,643,175,0,0,699,269,56,0,3120
"Cluster_15841,contig_0 consensus mapping",688,914,733,19385,445,365,506,0,728,256,0,0,473,30,0,0,498,465,1,0,558,43,0,0,579,738,747,1008,730,398,100,94,879,143,0,39,835,344,96,1,0
"Cluster_4864,contig_0 consensus mapping",735,931,697,0,861,473,623,0,623,93,7,0,425,0,0,0,461,748,0,0,538,51,0,0,575,580,596,366,626,515,547,309,779,428,47,0,778,224,32,6,2
"Cluster_300,contig_0 consensus mapping",718,838,1102,0,868,555,537,0,578,0,0,0,438,1234,5630,108,430,0,0,0,512,0,0,0,512,50,50,49,669,411,308,109,755,125,0,0,726,235,528,32,3094
"Cluster_15216,contig_0 consensus mapping",785,966,1041,0,1001,700,307,0,792,0,0,0,467,69,0,0,495,123,0,0,582,0,0,0,575,58,93,61,700,173,48,0,877,166,92,0,805,173,51,6,2770
"Cluster_10127,contig_0 consensus mapping",763,1030,626,0,303,792,618,0,674,0,0,0,518,598,4416,790,442,663,1,0,559,0,0,0,608,935,2262,941,649,325,391,138,778,304,1,0,790,555,89,0,1
"Cluster_13422,contig_0 consensus mapping",500,724,504,0,932,326,415,0,461,0,19,0,383,405,0,0,359,0,389,1,394,0,0,0,433,82,553,235,565,416,353,253,651,1009,0,9,582,198,46,9,3080
"Cluster_8295,contig_0 consensus mapping",772,951,1222,0,493,1059,206,0,696,0,0,0,476,43,0,0,493,0,0,0,562,136,0,0,596,113,322,49,760,666,1077,398,912,197,0,0,869,383,57,1,0
"Cluster_15977,contig_0 consensus mapping",855,1151,764,0,571,497,297,0,720,949,0,0,598,43,0,0,611,763,1,0,659,314,0,0,754,76,0,0,829,64,0,0,1025,169,0,0,948,261,5,0,2860
"Cluster_4615,contig_0 consensus mapping",696,954,606,0,304,503,396,0,545,0,0,0,348,0,0,0,397,661,182,0,489,0,0,0,534,175,307,113,598,184,912,372,706,102,0,0,737,743,216,298,0
"Cluster_5036,contig_0 consensus mapping",580,791,947,0,934,353,330,0,593,0,0,0,375,0,0,0,331,729,176,1,417,176,0,0,449,53,49,47,557,496,578,286,622,115,0,0,588,256,655,14,0
"Cluster_7530,contig_0 consensus mapping",629,790,659,0,461,436,488,0,625,682,22,0,479,3,0,0,411,0,0,0,479,0,0,0,503,62,824,564,621,154,126,150,724,150,0,0,635,231,59,0,0
"Cluster_6627,contig_0 consensus mapping",578,741,396,0,460,627,102,0,530,7,0,0,345,3,0,0,381,0,0,0,411,0,0,0,429,39,18,0,559,146,54,5,694,130,0,0,603,255,34,0,1
