barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_12998,contig_0 consensus mapping",250,0,0,0,0,0,0,0,0,0,207,16,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,16,0,0,365,1,0,0,0,0,0,0,0,0,0,0
"Cluster_5805,contig_0 consensus mapping",312,0,0,0,0,0,0,0,0,0,220,32,0,0,0,0,0,0,0,0,0,0,795,0,1,0,1,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,305,0,1,0,0,0,0,0,0,0,0,0
"Cluster_11545,contig_0 consensus mapping",406,0,0,0,0,0,0,0,0,0,333,41,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,587,0,1,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11809,contig_0 consensus mapping",338,1,2,8,0,0,0,0,0,767,255,701,4099,1005,2044,682,815,945,0,0,2680,0,684,4,0,0,0,1,0,0,0,0,0,2,437,0,0,1,0,0,1,6,8,0,0,0,448,0,0,0,0,0,0,0,4,3,0,0
"Cluster_14422,contig_0 consensus mapping",334,0,0,0,0,0,0,0,0,0,292,72,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,1,0,0,0,0
"Cluster_4414,contig_0 consensus mapping",428,0,0,0,0,0,0,0,0,0,414,14,0,0,0,0,0,0,0,0,0,0,380,1,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,585,6,0,0,0,0,0,0,0,0,0,0
"Cluster_5372,contig_0 consensus mapping",424,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,471,4,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,1,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1559,contig_0 consensus mapping",307,0,2,0,0,0,0,0,0,0,274,85,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,15,0,0,549,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8493,contig_0 consensus mapping",141,18683,17,105,97,83,0,1,0,0,97,38,2,10,4,3,1,3,7,16,3,3,137,26,0,0,2,4,2,1,10,38,1,1,160,1,10,2,2,9,2,43,9,2,2,10237,162,4636,9636,4191,20812,27054,19219,2634,20272,1393,1880,4
"Cluster_6662,contig_0 consensus mapping",258,0,0,0,0,0,0,0,0,0,221,80,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,5,0,0,411,0,0,0,0,0,0,0,0,0,0,0
"Cluster_679,contig_0 consensus mapping",309,0,0,0,0,0,0,0,0,0,256,56,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,1,0,0
"Cluster_14017,contig_0 consensus mapping",223,0,0,0,0,1,0,0,0,404,172,0,178,535,31,33,9,733,0,97,0,0,405,0,0,0,0,0,0,0,0,0,0,0,352,3,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,1,0,0,0
"Cluster_1495,contig_0 consensus mapping",279,0,0,0,0,0,0,0,0,0,177,57,0,0,0,0,0,0,0,0,0,0,327,1,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2349,contig_0 consensus mapping",595,0,0,0,0,0,0,0,0,0,467,161,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0
"Cluster_166,contig_0 consensus mapping",305,0,0,0,0,0,0,0,0,0,235,143,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3510,contig_0 consensus mapping",192,0,0,0,0,0,0,0,0,0,195,24,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1229,contig_0 consensus mapping",294,0,0,0,0,0,0,0,0,0,206,45,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,12,0,0,499,0,0,0,0,0,0,0,2,0,0,8
"Cluster_484,contig_0 consensus mapping",331,0,0,0,0,0,0,0,0,0,238,35,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3087,contig_0 consensus mapping",218,0,0,0,0,0,0,0,0,0,207,11,0,1,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,6,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3237,contig_0 consensus mapping",348,0,0,0,0,0,0,0,0,0,203,43,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,1,0,510,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,1,0,0,1,13909
"Cluster_13833,contig_0 consensus mapping",246,5,0,20,21,13,0,0,0,645,193,35,170,1760,3392,1515,1409,1554,3311,174,615,0,261,8,0,0,4,0,2,3,2,0,0,0,321,0,0,2,1,0,0,7,0,0,0,0,369,0,0,0,0,0,1,3,12,3,0,0
"Cluster_14539,contig_0 consensus mapping",370,0,0,0,0,0,0,1,0,0,287,114,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15502,contig_0 consensus mapping",208,2,0,0,0,0,0,0,0,0,172,100,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0
"Cluster_170,contig_0 consensus mapping",172,0,0,0,0,0,0,0,0,332,141,26,56,309,12,18,14,610,0,0,4,0,187,0,0,0,0,0,0,0,0,0,0,0,221,2,0,0,0,0,0,1,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7281,contig_0 consensus mapping",221,0,0,0,0,0,0,0,0,0,165,4,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0
"Cluster_10468,contig_0 consensus mapping",158,0,1,0,0,0,0,0,0,0,109,43,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,22,0,0,231,0,0,0,0,0,0,1,0,0,0,0
"Cluster_8052,contig_0 consensus mapping",215,0,0,0,0,0,0,0,0,0,230,56,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,6,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4648,contig_0 consensus mapping",292,0,0,0,0,0,0,0,0,0,236,41,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,438,14,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,1,0,0,1
"Cluster_15841,contig_0 consensus mapping",203,0,0,0,0,0,0,0,0,0,203,150,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4864,contig_0 consensus mapping",159,0,0,0,0,0,0,0,0,0,147,50,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,3,0,0,0
