barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_83,contig_0 consensus mapping",628,300,368,350,268,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1654
"Cluster_9123,contig_0 consensus mapping",756,367,488,414,331,0,0,1,0,0,3,1921,0,21,0,1335,1,0,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5564,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"Cluster_18371,contig_0 consensus mapping",611,310,357,348,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_25334,contig_0 consensus mapping",1032,460,644,552,478,2,0,7,2,0,0,1654,2,775,1442,0,1,0,0,1,0,1,2010,0,22,0,0,0,5,22866,0,0,0,1,0,0,0,3085,0,0,0,0,0,0,1,1,0,15,0
"Cluster_19220,contig_0 consensus mapping",688,342,391,362,310,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3996,0,3,0,0,0,0,0,0,0
"Cluster_24266,contig_0 consensus mapping",931,395,566,497,427,0,11,2,0,14,5,1655,0,983,0,0,5,13,5034,1,4,2,0,1,0,0,18,8,0,0,0,0,4,0,0,0,0,0,0,2,0,0,12510,1,1,0,13,0,1
"Cluster_24190,contig_0 consensus mapping",768,330,442,416,321,0,12,6,0,18263,12,0,0,0,0,0,1,11,989,0,6,0,0,23,0,0,0,13,2,0,0,0,8,8302,0,0,0,2,0,0,0,0,10,6,0,0,0,0,0
"Cluster_16020,contig_0 consensus mapping",818,343,501,450,353,0,1,0,0,1,0,0,0,0,2478,0,0,467,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0
"Cluster_16651,contig_0 consensus mapping",705,355,375,359,306,2,2,0,0,5,0,0,2560,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5343,0,0,3,5,0,942,0,0,0,2,0,0,0,0,0,0
"Cluster_26800,contig_0 consensus mapping",989,395,510,483,347,0,1,0,0,0,0,0,0,0,0,0,1,567,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
